,供给(元/㎡),forecast
2014-03-01,50581,50581.0
2014-04-01,51933,51933.0
2014-05-01,52568,52568.0
2014-06-01,52224,51576.9609375
2014-07-01,51104,52016.1875
2014-08-01,52762,51013.7421875
2014-09-01,51257,52080.60546875
2014-10-01,51981,50801.640625
2014-11-01,52507,51569.71484375
2014-12-01,53457,51797.796875
2015-01-01,53958,53216.40625
2015-02-01,54812,54238.40625
2015-03-01,52672,55524.7109375
2015-04-01,52371,54082.3515625
2015-05-01,53410,53297.48046875
2015-06-01,56254,53372.37109375
2015-07-01,55940,56290.0625
2015-08-01,57772,57275.7265625
2015-09-01,57852,59501.7734375
2015-10-01,56656,60014.09375
2015-11-01,59522,59640.20703125
2015-12-01,62352,61470.9765625
2016-01-01,64960,63925.0390625
2016-02-01,68679,66877.796875
2016-03-01,73492,70141.9765625
2016-04-01,71763,73829.4921875
2016-05-01,72070,74822.0703125
2016-06-01,72104,75688.6328125
2016-07-01,75007,75364.0546875
2016-08-01,77344,76711.15625
2016-09-01,81388,78303.1328125
2016-10-01,81810,81024.0546875
2016-11-01,80886,82588.828125
2016-12-01,82620,83321.265625
2017-01-01,80520,83823.875
2017-02-01,83779,83255.21875
2017-03-01,85626,84338.3671875
2017-04-01,85108,85173.359375
2017-05-01,87646,86188.890625
2017-06-01,88872,87322.546875
2017-07-01,91255,88135.78125
2017-08-01,88744,89706.2265625
2017-09-01,89679,89791.921875
2017-10-01,84934,90068.3515625
2017-11-01,89789,88260.609375
2017-12-01,89299,88903.1171875
2018-01-01,92273,88699.3671875
2018-02-01,84904,90588.46875
2018-03-01,91318,88990.703125
2018-04-01,92512,89959.96875
2018-05-01,88182,89966.125
2018-06-01,90680,90491.8046875
2018-07-01,94583,90530.4375
2018-08-01,92773,91157.859375
2018-09-01,91985,92081.0546875
2018-10-01,91751,92370.0703125
2018-11-01,92709,91717.0625
2018-12-01,89773,91746.6484375
2019-01-01,91454,91089.5859375
2019-02-01,95112,91418.40625
2019-03-01,93908,91645.9609375
2019-04-01,,92675.0546875
2019-05-01,,92888.625
2019-06-01,,92997.7421875
